,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,westport,-33.65,115.3333,32.22,34,0,2.24,AU,1611986286
73,hwange,-46.1927,168.8643,18.26,52,0,1.62,NZ,1611986286
74,kahului,-26.6167,-54.1333,19.07,100,37,1.17,AR,1611986286
75,namibe,19.7297,-155.09,22.0,83,75,2.06,US,1611986191
76,fort nelson,63.0128,112.4714,-39.05,81,82,1.95,RU,1611986286
77,artyom,54.3656,81.8994,-16.51,93,99,4.07,RU,1611986286
78,kapit,32.6667,-17.1,13.89,75,46,1.34,PT,1611986287
79,cairns,-22.2763,166.4572,28.0,61,0,11.83,NC,1611986287
80,kuching,-33.9258,18.4232,22.78,88,75,1.03,ZA,1611986235
81,el tigre,42.6001,-73.9662,-13.89,77,2,3.7,US,1611986287
82,kamloops,55.9333,158.7,-13.06,87,98,2.39,RU,1611986287
83,seoul,41.8069,126.9078,-8.75,82,100,3.72,CN,1611986287
84,bambous virieux,39.05,-27.9833,15.94,87,91,8.74,PT,1611986287
85,lorengau,11.6667,-9.5,18.26,24,0,1.09,GN,1611986287
86,ushuaia,41.1239,-100.7654,-3.0,93,90,2.57,US,1611986287
87,mataura,30.153,-85.5699,7.0,87,1,2.64,US,1611986288
88,chokurdakh,45.0205,-93.218,-3.89,58,90,5.14,US,1611986288
89,midland,66.9395,-53.6735,-13.85,89,5,4.62,GL,1611986288
90,avera,-41.4122,175.5153,17.22,63,23,7.2,NZ,1611986288
91,mago,-2.6741,141.3028,28.8,73,98,6.11,PG,1611986288
92,rikitea,17.4924,44.1277,18.0,27,0,1.03,SA,1611986288
93,sovetskiy,67.5447,133.385,-40.64,76,98,0.16,RU,1611986288
94,teacapan,38.7586,140.3008,2.0,86,75,4.12,JP,1611986288
95,port arthur,27.9769,-114.0611,14.61,71,4,5.56,MX,1611986288
96,kerema,-0.9492,100.3543,30.0,66,91,3.09,ID,1611986288
97,aroeiras,35.1333,140.3,8.0,23,20,3.6,JP,1611986203
98,saint-georges,40.9056,69.8023,11.0,22,84,5.14,UZ,1611986289
99,te anau,-3.6954,128.1814,32.0,62,40,4.63,ID,1611986289
100,belmonte,14.8961,-24.4956,23.55,56,98,4.78,CV,1611986289
101,jieshi,63.4427,-20.2734,1.49,85,100,4.54,IS,1611986289
102,kinwat,22.2394,68.9678,22.58,33,22,5.77,IN,1611986289
103,san ignacio,62.5833,6.1333,1.0,86,90,5.66,NO,1611986289
104,canmore,-38.2667,141.9667,17.07,71,94,5.29,AU,1611986289
105,hindupur,11.6667,92.75,28.71,66,14,5.01,IN,1611986289
106,mandurah,59.617,52.4703,-4.14,98,100,3.9,RU,1611986289
107,surt,59.7035,30.7861,-1.0,93,90,3.0,RU,1611986289
108,walldorf,-0.2167,20.8667,24.37,85,70,0.77,CD,1611986290
109,belaya gora,10.9995,122.6711,24.53,86,100,7.09,PH,1611986290
110,fortuna,70.6333,147.9167,-33.93,85,100,3.65,RU,1611986290
111,pozo colorado,69.7008,170.3133,-34.16,86,38,2.06,RU,1611986290
112,menongue,10.7398,13.8019,16.26,30,0,2.82,CM,1611986290
113,bengkulu,5.9485,80.5353,30.25,60,61,2.03,LK,1611986290
114,nome,64.3833,-173.3,-22.48,83,1,2.42,RU,1611986290
115,taltal,14.4833,79.9833,29.18,51,96,4.23,IN,1611986290
116,mayo,51.9669,12.1396,-1.11,95,95,0.89,DE,1611986290
117,valparaiso,49.5833,0.3333,9.0,100,90,6.17,FR,1611986290
118,sangar,49.758,129.523,-26.09,85,33,3.55,RU,1611986291
119,torbay,-33.6971,-53.4616,19.82,93,43,0.75,UY,1611986291
120,clyde river,31.9974,-102.0779,11.0,82,1,7.2,US,1611986081
121,buin,-0.1934,-74.7819,22.14,77,47,0.97,CO,1611986291
122,kandrian,-20.3428,57.7575,30.0,74,40,5.14,MU,1611986291
123,dembi dolo,-7.9631,145.7785,28.23,78,96,3.43,PG,1611986291
